"","date","junctionName","time","primaryDownstreamJunctionSection/downStreamJunctionDestination","primaryDownstreamJunctionSection/upStreamJunctionDestination","primaryDownstreamJunctionSection/links/0/speedLimit","primaryDownstreamJunctionSection/avgSpeed","secondaryUpstreamJunctionSection/downStreamJunctionDestination","secondaryUpstreamJunctionSection/upStreamJunctionDestination","secondaryUpstreamJunctionSection/links/0/speedLimit","secondaryUpstreamJunctionSection/avgSpeed","primaryUpstreamJunctionSection/downStreamJunctionDestination","primaryUpstreamJunctionSection/upStreamJunctionDestination","primaryUpstreamJunctionSection/links/0/speedLimit","primaryUpstreamJunctionSection/avgSpeed","secondaryDownstreamJunctionSection/avgSpeed"
"1",2022-04-04,"J1","07:30","Limited Access","Brent Cross",70,59.651634,"Brent Cross","Mill Hill",70,42.97167,NA,NA,NA,NA,NA
"2",2022-04-04,"J2","07:30","Limited Access","Limited Access",70,67.75167,"Mill Hill","Edgware",70,68.85971,"Limited Access","Brent Cross",70,59.651634,42.97167
"3",2022-04-04,"J4","07:30","Watford","Limited Access",70,63.075123,"Edgware","Watford",70,65.38753,"Limited Access","Limited Access",70,67.75167,68.85971
"4",2022-04-04,"J5","07:30","St Albans","Watford",70,63.47661,"Watford","St Albans",70,65.6214,"Watford","Limited Access",70,63.075123,65.38753
"5",2022-04-04,"J6","07:30","Limited Access","St Albans",70,61.515743,"St Albans","Heathrow",70,67.58332,"St Albans","Watford",70,63.47661,65.6214
"6",2022-04-04,"J6A","07:30","Limited Access","Limited Access",70,62.20219,"Heathrow","Hemel Hempstead",70,62.758488,"Limited Access","St Albans",70,61.515743,67.58332
"7",2022-04-04,"J7","07:30","Hemel Hempstead","Limited Access",50,55.720634,"Hemel Hempstead","Hemel Hempstead",50,60.77541,"Limited Access","Limited Access",70,62.20219,62.758488
"8",2022-04-04,"J8","07:30","Dunstable","Hemel Hempstead",70,61.953876,"Hemel Hempstead","Harpenden",70,59.5997,"Hemel Hempstead","Limited Access",50,55.720634,60.77541
"9",2022-04-04,"J9","07:30","Luton Airport","Dunstable",70,62.69782,"Harpenden","Luton Airport",70,62.950684,"Dunstable","Hemel Hempstead",70,61.953876,59.5997
"10",2022-04-04,"J10","07:30","Luton","Luton Airport",70,61.39118,"Luton Airport","Luton",70,59.334282,"Luton Airport","Dunstable",70,62.69782,62.950684
"11",2022-04-04,"J11","07:30","Dunstable","Luton",70,60.729694,"Luton","Dunstable",70,60.368824,"Luton","Luton Airport",70,61.39118,59.334282
"12",2022-04-04,"J11A","07:30","Flitwick","Dunstable",70,38.397934,"Dunstable","Flitwick",70,62.283226,"Dunstable","Luton",70,60.729694,60.368824
"13",2022-04-04,"J12","07:30","Milton Keynes","Flitwick",70,58.750156,"Flitwick","Bedford",70,7.197023,"Flitwick","Dunstable",70,38.397934,62.283226
"14",2022-04-04,"J13","07:30","Milton Keynes","Milton Keynes",70,63.314697,"Bedford","Milton Keynes",70,33.42162,"Milton Keynes","Flitwick",70,58.750156,7.197023
"15",2022-04-04,"J14","07:30","Northampton","Milton Keynes",70,58.667633,"Milton Keynes","Northampton",70,53.603115,"Milton Keynes","Milton Keynes",70,63.314697,33.42162
"16",2022-04-04,"J15","07:30","Northampton","Northampton",70,57.16615,"Northampton","Northampton",70,49.067978,"Northampton","Milton Keynes",70,58.667633,53.603115
"17",2022-04-04,"J15A","07:30","Northampton","Northampton",70,56.433525,"Northampton","Northampton",70,35.54212,"Northampton","Northampton",70,57.16615,49.067978
"18",2022-04-04,"J16","07:30","Coventry","Northampton",70,65.10535,"Northampton","Limited Access",70,61.668285,"Northampton","Northampton",70,56.433525,35.54212
"19",2022-04-04,"J17","07:30","Rugby","Coventry",70,64.944115,"Limited Access","Rugby",70,62.137123,"Coventry","Northampton",70,65.10535,61.668285
"20",2022-04-04,"J18","07:30","Birmingham","Rugby",70,65.0348,"Rugby","Birmingham",70,61.900585,"Rugby","Coventry",70,64.944115,62.137123
"21",2022-04-04,"J19","07:30","Lutterworth / Rugby","Birmingham",70,69.30155,"Birmingham","Lutterworth / Rugby",70,65.69572,"Birmingham","Rugby",70,65.0348,61.900585
"22",2022-04-04,"J20","07:30","Leicester","Lutterworth / Rugby",70,63.44833,"Lutterworth / Rugby","Leicester",70,64.53031,"Lutterworth / Rugby","Birmingham",70,69.30155,65.69572
"23",2022-04-04,"J21","07:30","Leicester","Leicester",70,61.2026,"Leicester","Limited Access",70,55.654514,"Leicester","Lutterworth / Rugby",70,63.44833,64.53031
"24",2022-04-04,"J21A","07:30","Coalville / Leicester","Leicester",70,67.72947,"Limited Access","Leicester",70,62.75849,"Leicester","Leicester",70,61.2026,55.654514
"25",2022-04-04,"J22","07:30","Loughborough","Coalville / Leicester",70,70,"Leicester","Loughborough",70,55.47241,"Coalville / Leicester","Leicester",70,67.72947,62.75849
"26",2022-04-04,"J23","07:30","Nottingham / East Mids Airport","Loughborough",70,67.37675,"Loughborough","Birmingham",70,57.886604,"Loughborough","Coalville / Leicester",70,70,55.47241
"27",2022-04-04,"J23A","07:30","Derby","Nottingham / East Mids Airport",70,65.11988,"Birmingham","East Mids Airport / Loughborough",70,51.035717,"Nottingham / East Mids Airport","Loughborough",70,67.37675,57.886604
"28",2022-04-04,"J24","07:30","Derby","Derby",70,68.35083,"East Mids Airport / Loughborough","East Mids Airport / Loughborough",70,38.30576,"Derby","Nottingham / East Mids Airport",70,65.11988,51.035717
"29",2022-04-04,"J24A","07:30","Nottingham / Derby","Derby",70,66.19821,"East Mids Airport / Loughborough","Nottingham / Derby",70,59.030262,"Derby","Derby",70,68.35083,38.30576
"30",2022-04-04,"J25","07:30","Nottingham","Nottingham / Derby",70,63.6615,"Nottingham / Derby","Nottingham",70,65.76723,"Nottingham / Derby","Derby",70,66.19821,59.030262
"31",2022-04-04,"J26","07:30","Mansfield","Nottingham",70,67.29505,"Nottingham","Nottingham / Langley Mill",70,64.11788,"Nottingham","Nottingham / Derby",70,63.6615,65.76723
"32",2022-04-04,"J27","07:30","Mansfield","Mansfield",70,68.210045,"Nottingham / Langley Mill","Mansfield",70,62.85933,"Mansfield","Nottingham",70,67.29505,64.11788
"33",2022-04-04,"J28","07:30","Chesterfield / Mansfield","Mansfield",70,69.05271,"Mansfield","Mansfield / Chesterfield",70,58.390724,"Mansfield","Mansfield",70,68.210045,62.85933
"34",2022-04-04,"J29","07:30","Chesterfield (E) / Bolsover","Chesterfield / Mansfield",70,68.0916,"Mansfield / Chesterfield","Chesterfield (E) / Bolsover",70,60.77635,"Chesterfield / Mansfield","Mansfield",70,69.05271,58.390724
"35",2022-04-04,"J29A","07:30","Sheffield","Chesterfield (E) / Bolsover",70,62.75849,"Chesterfield (E) / Bolsover","Worksop",70,63.159542,"Chesterfield (E) / Bolsover","Chesterfield / Mansfield",70,68.0916,60.77635
